District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Thane,Maharashtra,17,11060148,251880,10009,236285,5527,984353.172,21599.65083,984353.172,1
Pune,Maharashtra,17,9429408,369065,13639,347678,7713,839217.312,17538.59951,839217.312,1
Surat,Gujarat,8,6081322,48350,1153,46241,956,425692.54,12666.18097,384280.284,2
Akola,Maharashtra,17,1813906,10360,531,9479,345,161437.634,12526.0993,321883.988,0
Durg,Chhattisgarh,6,3343872,21929,1458,19925,546,250790.4,11653.76452,344964.089,0
Nashik,Maharashtra,17,6107187,113524,2227,109430,1866,543539.643,10670.32624,414167.73,2
Aurangabad,Maharashtra,17,3701282,47419,1017,45191,1196,329414.098,9684.902405,376462.613,2
Osmanabad,Maharashtra,17,1657576,16739,252,15951,534,147524.264,9194.089397,299154.988,0
Solapur,Maharashtra,17,4317756,52790,1038,49998,1740,384280.284,8934.18992,543539.643,2
Ganjam,Odisha,22,3529031,21782,18,21510,254,292909.573,8860.355581,251170.727,3
Budaun,Uttar Pradesh,30,3681896,3814,94,3675,45,257732.72,8672.164686,229140.352,3
Unnao,Uttar Pradesh,30,3108367,4492,182,4228,82,217585.69,8591.450877,267332.949,3
Jalgaon,Maharashtra,17,4229917,55780,547,53778,1435,376462.613,8417.002342,425692.54,2
Vellore,Tamil Nadu,27,3936331,20094,217,19538,339,350333.459,8308.468215,329414.098,3
Agra,Uttar Pradesh,30,4418797,10117,228,9719,170,309315.79,8168.119096,320688.76,3
Sagar,Madhya Pradesh,16,2378458,4872,196,4529,147,171248.976,7624.174787,319265.274,0
Sangli,Maharashtra,17,2822143,49977,265,47946,1763,251170.727,7356.800789,413559.148,2
Gonda,Uttar Pradesh,30,3433919,5009,74,4868,67,240374.33,7211.271905,246738.972,3
Samastipur,Bihar,4,4261566,5148,71,5043,34,285524.922,7015.689907,152275.548,0
Bhiwani,Haryana,9,1634445,6213,60,6016,137,124217.82,6640.577887,211445.716,0
Ramanathapuram,Tamil Nadu,27,1353445,6295,23,6140,132,120456.605,6443.482371,201810.28,3
Bathinda,Punjab,24,1388525,9010,202,8607,201,127744.3,6403.077582,218423.444,3
Basti,Uttar Pradesh,30,2464464,4996,65,4834,97,172512.48,6244.313803,250790.4,3
Nanded,Maharashtra,17,3361292,21117,556,19907,649,299154.988,6208.029243,419855.447,2
Ludhiana,Punjab,24,3498739,24515,437,23124,954,321883.988,6205.659155,504370.297,2
Mau,Uttar Pradesh,30,2205968,3031,49,2943,39,154417.76,5990.386082,163411.654,3
Dhule,Maharashtra,17,2050862,15551,307,14898,343,182526.718,5967.143496,270404.428,3
Sangrur,Punjab,24,1655169,4341,40,4101,200,152275.548,5910.373489,350333.459,3
Barmer,Rajasthan,25,2603751,4898,154,4697,47,177055.068,5806.585113,145969.5,3
Ballia,Uttar Pradesh,30,3239774,7692,183,7407,102,226784.18,5701.839466,226066.497,3
Yavatmal,Maharashtra,17,2772348,13481,495,12588,394,246738.972,5407.097006,355844.428,3
Saran,Bihar,4,3951862,7002,250,6700,52,264774.754,5376.060157,161437.634,0
Salem,Tamil Nadu,27,3482056,31287,337,30494,456,309902.984,5266.893796,286499.15,3
Murshidabad,West Bengal,32,7103807,11785,358,11282,145,504370.297,5263.82685,331801.256,3
Birbhum,West Bengal,32,3502404,9417,350,8983,84,248670.684,5252.36371,174403.112,3
Purba Medinipur,West Bengal,32,5095875,19818,661,18890,267,361807.125,5197.556946,309315.79,3
Bilaspur,Chhattisgarh,6,2663629,17417,303,16927,187,199772.175,5166.995001,171248.976,0
Paschim Medinipur,West Bengal,32,5913457,19613,579,18744,290,419855.447,5131.90573,334040.42,3
Kancheepuram,Tamil Nadu,27,3998252,28496,284,27779,433,355844.428,5112.756447,322973.91,3
Tonk,Rajasthan,25,1421326,3335,231,3070,34,96650.168,5064.241286,103005.684,3
Varanasi,Uttar Pradesh,30,3676841,22114,696,20993,425,257378.87,5032.459695,310862.65,3
Bijnor,Uttar Pradesh,30,3682713,4225,129,4038,58,257789.91,4958.821542,257071.605,3
Pratapgarh,Rajasthan,25,3209141,1164,88,1057,19,218221.588,4946.460264,257378.87,3
Tarn Taran,Punjab,24,1119627,2095,11,1981,103,103005.684,4932.486395,313879.44,3
Chennai,Tamil Nadu,27,4646732,223509,2982,216551,3976,413559.148,4874.483034,361807.125,1
Latur,Maharashtra,17,2454196,23094,407,22006,677,218423.444,4855.964593,347839.646,3
Kokrajhar,Assam,3,887142,408,43,353,12,55002.804,4847.97428,143741.141,0
Kolkata,West Bengal,32,4496694,121313,3842,114574,2897,319265.274,4847.215549,366899.6,2
Nandurbar,Maharashtra,17,1648295,7870,374,7328,167,146698.255,4815.469723,238389.13,0
Firozabad,Uttar Pradesh,30,2498156,3792,52,3672,68,174870.92,4779.359318,241058.23,3
Sehore,Madhya Pradesh,16,1311332,2614,84,2482,48,94415.904,4706.252242,147524.264,0
Moradabad,Uttar Pradesh,30,4772006,11456,275,11005,176,334040.42,4666.7142,314594.28,3
Koppal,Karnataka,13,1389920,13849,94,13476,279,109803.68,4650.389129,174355.094,0
Raisen,Madhya Pradesh,16,1331597,2302,52,2208,42,95874.984,4640.028161,149309.072,0
Nayagarh,Odisha,22,962789,6423,2,6375,46,79911.487,4586.792837,71365.1,3
Patiala,Punjab,24,1895686,15573,254,14850,469,174403.112,4578.806783,321288.66,3
Sitapur,Uttar Pradesh,30,4483992,4709,104,4531,74,313879.44,4516.756657,309902.984,3
Ujjain,Madhya Pradesh,16,1986864,4511,222,4188,101,143054.208,4481.877192,244141.17,0
Coimbatore,Tamil Nadu,27,3458045,51696,948,50106,642,307766.005,4219.912005,265798.19,2
Nadia,West Bengal,32,5167600,21194,688,20226,280,366899.6,4156.79792,304790.4,3
Karimganj,Assam,3,1228686,1200,219,955,26,76178.532,4059.516114,145914.817,0
Ajmer,Rajasthan,25,2583052,16290,295,15779,216,175647.536,4025.893072,182526.718,3
Shahjahanpur,Uttar Pradesh,30,3006538,6786,72,6603,111,210457.66,4008.997607,253418.76,3
Tiruppur,Tamil Nadu,27,2479052,16787,416,16157,214,220635.628,3971.956056,217585.69,3
Kolhapur,Maharashtra,17,3876001,49049,529,46860,1657,344964.089,3949.301269,450580.104,2
East Godavari,Andhra Pradesh,1,5154296,123454,429,122389,636,396880.792,3895.112266,167852.16,2
Ratnagiri,Maharashtra,17,1615069,11089,454,10259,374,143741.141,3822.070921,307766.005,0
Dharwad,Karnataka,13,1847023,21782,127,21049,606,145914.817,3800.549683,273873.737,0
Visakhapatnam,Andhra Pradesh,1,4290589,58980,268,58163,549,330375.353,3787.322991,235922.184,2
Sundargarh,Odisha,22,2093437,14444,375,13902,167,173755.271,3706.309775,165082.271,3
Davanagere,Karnataka,13,1945497,21951,143,21544,264,153694.263,3642.147929,151007.5,0
Lucknow,Uttar Pradesh,30,4589838,76975,2884,72994,1097,321288.66,3631.415683,290045.84,2
Vadodara,Gujarat,8,4165626,23892,1801,21858,233,291593.82,3562.036218,218221.588,2
Amravati,Maharashtra,17,2888445,19596,445,18771,378,257071.605,3554.316465,311385.13,3
Kangra,Himachal Pradesh,10,1510075,7463,729,6552,180,151007.5,3538.891162,257789.91,0
Betul,Madhya Pradesh,16,1575362,3136,80,2989,67,113426.064,3503.639425,192219.975,0
Kushinagar,Uttar Pradesh,30,3564544,5613,71,5482,60,249518.08,3442.499299,210457.66,3
Dehradun,Uttarakhand,31,1696694,26322,1565,23536,818,149309.072,3415.619702,292909.573,3
Mirzapur,Uttar Pradesh,30,2496970,3357,149,3166,42,174787.9,3349.421576,172512.48,3
Kanpur Nagar,Uttar Pradesh,30,4581268,32037,641,30580,816,320688.76,3347.774077,376361.601,3
Bidar,Karnataka,13,1703300,7223,66,6982,171,134560.7,3308.35994,242646.74,0
Prakasam,Andhra Pradesh,1,3397448,61970,155,61237,578,261603.496,3276.85181,196183.323,2
Mathura,Uttar Pradesh,30,2547184,6602,225,6268,109,178302.88,3220.673489,219373.875,3
Farrukhabad,Uttar Pradesh,30,1885204,4556,73,4401,82,131964.28,3215.821438,184291.31,3
Kapurthala,Punjab,24,815168,4664,103,4367,194,74995.456,3215.228529,240374.33,3
Jammu,Jammu and Kashmir,11,1529958,23243,851,22042,350,107097.06,3202.942804,143054.208,0
Siwan,Bihar,4,3330464,4623,80,4512,31,223141.088,3185.640338,134560.7,0
Thiruvallur,Tamil Nadu,27,3728104,42359,466,41221,672,331801.256,3146.119734,321402.928,2
Gaya,Bihar,4,4391418,7713,150,7504,59,294225.006,3135.870849,174870.92,0
Sonipat,Haryana,9,1450001,14393,275,14040,78,110200.076,3119.450766,74995.456,0
West Godavari,Andhra Pradesh,1,3936966,93721,240,92948,533,303146.382,3112.910859,146698.255,2
Madurai,Tamil Nadu,27,3038252,20392,223,19719,450,270404.428,3075.213076,330375.353,3
Singrauli,Madhya Pradesh,16,1178273,1834,81,1727,26,84835.656,3067.30578,115768.886,0
Purnia,Bihar,4,3264619,9224,80,9122,22,218729.473,3062.202839,62985.684,0
Nalbari,Assam,3,771639,948,104,828,16,47841.618,3055.859768,91608.632,0
Muzaffarnagar,Uttar Pradesh,30,4143512,8067,381,7585,101,290045.84,3040.894806,257732.72,3
Satara,Maharashtra,17,3003741,54111,855,51507,1739,267332.949,3026.053371,391177.155,2
Raipur,Chhattisgarh,6,4063872,51473,6474,44297,702,304790.4,3012.061609,274972.066,2
Jalpaiguri,West Bengal,32,3872846,14150,437,13558,155,274972.066,3007.278422,226784.18,3
Chittoor,Andhra Pradesh,1,4174064,85711,406,84466,839,321402.928,2991.798744,242283.81,2
Anantapur,Andhra Pradesh,1,4081148,67223,159,66468,596,314248.396,2989.534747,217066.22,2
Patna,Bihar,4,5838465,47442,2040,45035,367,391177.155,2965.438858,228248.93,2
Shrawasti,Uttar Pradesh,30,1117361,1276,27,1231,18,78215.27,2957.936026,111298.608,3
Bhavnagar,Gujarat,8,2880365,5714,97,5549,68,201625.55,2944.060666,187929.21,0
South Goa,Goa,7,640537,3511,1978,1407,126,64053.7,2943.806938,178302.88,0
Thiruvananthapuram,Kerala,14,3301427,79740,3391,75651,629,349951.262,2927.331474,214124.21,2
Jalaun,Uttar Pradesh,30,1689974,3858,115,3698,45,118298.18,2849.789593,127744.3,3
Sivasagar,Assam,3,1151050,529,22,473,34,71365.1,2843.6865,291593.82,0
Barabanki,Uttar Pradesh,30,3260699,7620,82,7439,99,228248.93,2837.556264,224639.87,3
Maharajganj,Uttar Pradesh,30,2684703,5745,12,5643,90,187929.21,2812.65416,220635.628,3
Azamgarh,Uttar Pradesh,30,4613913,5938,150,5694,94,322973.91,2786.130364,314248.396,3
Gurdaspur,Punjab,24,2298323,7833,134,7453,246,211445.716,2760.463148,349951.262,3
Chhindwara,Madhya Pradesh,16,2090922,2620,32,2548,40,150546.384,2757.746015,177356.808,0
Junagadh,Gujarat,8,2743082,4786,268,4485,33,192015.74,2739.069884,124217.82,0
Chandrapur,Maharashtra,17,2204307,22930,788,21758,383,196183.323,2667.21628,249518.08,3
Malappuram,Kerala,14,4112920,87415,5173,81914,318,435969.52,2661.591941,142170.49,2
Rupnagar,Punjab,24,684627,3291,201,2930,160,62985.684,2652.366747,231926.346,3
Hisar,Haryana,9,1743931,16848,115,16420,313,132538.756,2618.388412,197565,0
Valsad,Gujarat,8,1705678,1348,17,1322,9,119397.46,2605.709371,91023.768,0
Ambedkar Nagar,Uttar Pradesh,30,2397888,1853,66,1744,43,167852.16,2555.923408,266319.06,3
Erode,Tamil Nadu,27,2251744,13445,304,12998,143,200405.216,2529.830678,170716.392,3
Panipat,Haryana,9,1205437,10409,315,9949,145,91613.212,2525.857321,120456.605,0
Gorakhpur,Uttar Pradesh,30,4440895,20817,294,20186,337,310862.65,2511.704441,312116.651,3
Sirsa,Haryana,9,1295189,7892,93,7687,112,98434.364,2497.066242,130797.03,0
Vaishali,Bihar,4,3495021,5343,86,5210,46,234166.407,2494.171375,167303.001,0
Bhojpur,Bihar,4,2728407,4934,66,4826,42,182803.269,2473.301092,139902.21,0
Dhemaji,Assam,3,686133,765,317,440,8,42540.246,2469.324941,55214.996,0
Udham Singh Nagar,Uttarakhand,31,1648902,10961,186,10557,108,145103.376,2462.288177,132538.756,3
Dakshina Kannada,Karnataka,13,2089649,32693,339,31618,734,165082.271,2440.000398,261603.496,0
Haveri,Karnataka,13,1597668,10946,40,10716,190,126215.772,2423.76904,172863.632,0
Morena,Madhya Pradesh,16,1965970,3182,24,3132,26,141549.84,2423.324718,113426.064,0
Gwalior,Madhya Pradesh,16,2032036,15708,341,15174,193,146306.592,2405.921523,150406.55,0
Shivpuri,Madhya Pradesh,16,1726050,3447,64,3355,28,124275.6,2403.876402,104783.705,0
