District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Thane,Maharashtra,"11,060,148",886,251880,10009,236285,5527,0.021942989,0.089,21599.65083,984353.172
Pune,Maharashtra,"9,429,408",915,369065,13639,347678,7713,0.020898758,0.089,17538.59951,839217.312
Nashik,Maharashtra,"6,107,187",934,113524,2227,109430,1866,0.016437053,0.089,8934.18992,543539.643
Murshidabad,West Bengal,"7,103,807",958,11785,358,11282,145,0.012303776,0.071,6205.659155,504370.297
Jaipur,Rajasthan,"6,626,178",910,56361,3881,51986,494,0.008764926,0.068,3949.301269,450580.104
Malappuram,Kerala,"4,112,920",1098,87415,5173,81914,318,0.00363782,0.106,1585.978639,435969.52
Surat,Gujarat,"6,081,322",787,48350,1153,46241,956,0.019772492,0.07,8417.002342,425692.54
Paschim Medinipur,West Bengal,"5,913,457",966,19613,579,18744,290,0.014786111,0.071,6208.029243,419855.447
Nagpur,Maharashtra,"4,653,570",951,122888,4601,115105,3166,0.025763297,0.089,10670.32624,414167.73
Chennai,Tamil Nadu,"4,646,732",989,223509,2982,216551,3976,0.017788993,0.089,7356.800789,413559.148
East Godavari,Andhra Pradesh,"5,154,296",1006,123454,429,122389,636,0.005151716,0.077,2044.617126,396880.792
Patna,Bihar,"5,838,465",897,47442,2040,45035,367,0.007735762,0.067,3026.053371,391177.155
Solapur,Maharashtra,"4,317,756",938,52790,1038,49998,1740,0.032960788,0.089,12666.18097,384280.284
Jalgaon,Maharashtra,"4,229,917",925,55780,547,53778,1435,0.025726067,0.089,9684.902405,376462.613
Guntur,Andhra Pradesh,"4,887,813",1003,74423,487,73274,662,0.0088951,0.077,3347.774077,376361.601
Nadia,West Bengal,"5,167,600",947,21194,688,20226,280,0.013211286,0.071,4847.215549,366899.6
Purba Medinipur,West Bengal,"5,095,875",938,19818,661,18890,267,0.013472601,0.071,4874.483034,361807.125
Kancheepuram,Tamil Nadu,"3,998,252",986,28496,284,27779,433,0.015195115,0.089,5407.097006,355844.428
Vellore,Tamil Nadu,"3,936,331",1007,20094,217,19538,339,0.016870708,0.089,5910.373489,350333.459
Thiruvananthapuram,Kerala,"3,301,427",1087,79740,3391,75651,629,0.007888136,0.106,2760.463148,349951.262
Ernakulam,Kerala,"3,282,388",1027,79260,8043,70907,299,0.003772395,0.106,1312.541192,347933.128
Krishna,Andhra Pradesh,"4,517,398",992,47420,674,46084,662,0.013960354,0.077,4855.964593,347839.646
Kolhapur,Maharashtra,"3,876,001",957,49049,529,46860,1657,0.033782544,0.089,11653.76452,344964.089
Moradabad,Uttar Pradesh,"4,772,006",906,11456,275,11005,176,0.015363128,0.07,5131.90573,334040.42
Thiruvallur,Tamil Nadu,"3,728,104",987,42359,466,41221,672,0.015864397,0.089,5263.82685,331801.256
Thrissur,Kerala,"3,121,200",1108,71491,6435,64735,313,0.004378173,0.106,1448.506278,330847.2
Visakhapatnam,Andhra Pradesh,"4,290,589",1006,58980,268,58163,549,0.00930824,0.077,3075.213076,330375.353
Aurangabad,Maharashtra,"3,701,282",923,47419,1017,45191,1196,0.025221957,0.089,8308.468215,329414.098
Ghaziabad,Uttar Pradesh,"4,681,645",881,25714,957,24658,99,0.003850043,0.07,1261.717419,327715.15
Kozhikode,Kerala,"3,086,293",1098,82526,5315,76924,274,0.003320166,0.106,1086.182539,327147.058
Azamgarh,Uttar Pradesh,"4,613,913",1019,5938,150,5694,94,0.015830246,0.07,5112.756447,322973.91
Ludhiana,Punjab,"3,498,739",873,24515,437,23124,954,0.03891495,0.092,12526.0993,321883.988
Muzaffarpur,Bihar,"4,801,062",900,11382,242,11095,45,0.003953611,0.067,1271.762613,321671.154
Chittoor,Andhra Pradesh,"4,174,064",997,85711,406,84466,839,0.009788709,0.077,3146.119734,321402.928
Lucknow,Uttar Pradesh,"4,589,838",917,76975,2884,72994,1097,0.01425138,0.07,4578.806783,321288.66
Kanpur Nagar,Uttar Pradesh,"4,581,268",862,32037,641,30580,816,0.02547055,0.07,8168.119096,320688.76
Kolkata,West Bengal,"4,496,694",908,121313,3842,114574,2897,0.023880376,0.071,7624.174787,319265.274
Jaunpur,Uttar Pradesh,"4,494,204",1024,6539,189,6253,97,0.014834072,0.07,4666.7142,314594.28
Anantapur,Andhra Pradesh,"4,081,148",977,67223,159,66468,596,0.008866013,0.077,2786.130364,314248.396
Sitapur,Uttar Pradesh,"4,483,992",888,4709,104,4531,74,0.015714589,0.07,4932.486395,313879.44
Kurnool,Andhra Pradesh,"4,053,463",988,60517,92,59938,487,0.008047326,0.077,2511.704441,312116.651
Bareilly,Uttar Pradesh,"4,448,359",887,13842,330,13354,158,0.011414535,0.07,3554.316465,311385.13
Gorakhpur,Uttar Pradesh,"4,440,895",950,20817,294,20186,337,0.016188692,0.07,5032.459695,310862.65
Salem,Tamil Nadu,"3,482,056",954,31287,337,30494,456,0.014574744,0.089,4516.756657,309902.984
Agra,Uttar Pradesh,"4,418,797",868,10117,228,9719,170,0.0168034,0.07,5197.556946,309315.79
Viluppuram,Tamil Nadu,"3,458,873",987,14916,84,14722,110,0.007374631,0.089,2270.204173,307839.697
Coimbatore,Tamil Nadu,"3,458,045",1000,51696,948,50106,642,0.012418756,0.089,3822.070921,307766.005
Raipur,Chhattisgarh,"4,063,872",984,51473,6474,44297,702,0.013638218,0.075,4156.79792,304790.4
West Godavari,Andhra Pradesh,"3,936,966",1004,93721,240,92948,533,0.005687093,0.077,1724.021667,303146.382
Madhubani,Bihar,"4,487,379",926,7553,62,7459,32,0.004236727,0.067,1273.790584,300654.393
Nanded,Maharashtra,"3,361,292",943,21117,556,19907,649,0.030733532,0.089,9194.089397,299154.988
Palakkad,Kerala,"2,809,934",1067,46292,5245,40921,119,0.002570639,0.106,765.6725483,297853.004
Gaya,Bihar,"4,391,418",937,7713,150,7504,59,0.007649423,0.067,2250.651528,294225.006
Ganjam,Odisha,"3,529,031",983,21782,18,21510,254,0.011661004,0.083,3415.619702,292909.573
Vadodara,Gujarat,"4,165,626",934,23892,1801,21858,233,0.009752218,0.07,2843.6865,291593.82
Muzaffarnagar,Uttar Pradesh,"4,143,512",889,8067,381,7585,101,0.012520144,0.07,3631.415683,290045.84
Hardoi,Uttar Pradesh,"4,092,845",868,5766,104,5556,106,0.018383628,0.07,5266.893796,286499.15
Samastipur,Bihar,"4,261,566",911,5148,71,5043,34,0.006604507,0.067,1885.751346,285524.922
Kollam,Kerala,"2,635,375",1113,56436,3779,52433,211,0.003738748,0.106,1044.418319,279349.75
