District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged
Thane,Maharashtra,17,11060148,251880,10009,236285,5527,984353.172
Pune,Maharashtra,17,9429408,369065,13639,347678,7713,839217.312
Solapur,Maharashtra,17,4317756,52790,1038,49998,1740,384280.284
Ludhiana,Punjab,24,3498739,24515,437,23124,954,321883.988
Kolhapur,Maharashtra,17,3876001,49049,529,46860,1657,344964.089
Nagpur,Maharashtra,17,4653570,122888,4601,115105,3166,414167.73
Jalgaon,Maharashtra,17,4229917,55780,547,53778,1435,376462.613
Nanded,Maharashtra,17,3361292,21117,556,19907,649,299154.988
Nashik,Maharashtra,17,6107187,113524,2227,109430,1866,543539.643
Sangli,Maharashtra,17,2822143,49977,265,47946,1763,251170.727
Amritsar,Punjab,24,2490656,14321,539,13240,542,229140.352
Satara,Maharashtra,17,3003741,54111,855,51507,1739,267332.949
Surat,Gujarat,8,6081322,48350,1153,46241,956,425692.54
Aurangabad,Maharashtra,17,3701282,47419,1017,45191,1196,329414.098
Kanpur Nagar,Uttar Pradesh,30,4581268,32037,641,30580,816,320688.76
Kolkata,West Bengal,32,4496694,121313,3842,114574,2897,319265.274
Chennai,Tamil Nadu,27,4646732,223509,2982,216551,3976,413559.148
Yavatmal,Maharashtra,17,2772348,13481,495,12588,394,246738.972
Sangrur,Punjab,24,1655169,4341,40,4101,200,152275.548
Gurdaspur,Punjab,24,2298323,7833,134,7453,246,211445.716
Jalandhar,Punjab,24,2193590,19669,487,18554,628,201810.28
Latur,Maharashtra,17,2454196,23094,407,22006,677,218423.444
Durg,Chhattisgarh,6,3343872,21929,1458,19925,546,250790.4
Paschim Medinipur,West Bengal,32,5913457,19613,579,18744,290,419855.447
Murshidabad,West Bengal,32,7103807,11785,358,11282,145,504370.297
Parbhani,Maharashtra,17,1836086,7529,215,7027,276,163411.654
Madurai,Tamil Nadu,27,3038252,20392,223,19719,450,270404.428
Vellore,Tamil Nadu,27,3936331,20094,217,19538,339,350333.459
Hoshiarpur,Punjab,24,1586625,7617,185,7129,303,145969.5
Aurangabad,Maharashtra,17,2540073,47419,1017,45191,1196,226066.497
Kancheepuram,Tamil Nadu,27,3998252,28496,284,27779,433,355844.428
Akola,Maharashtra,17,1813906,10360,531,9479,345,161437.634
Hardoi,Uttar Pradesh,30,4092845,5766,104,5556,106,286499.15
Thiruvallur,Tamil Nadu,27,3728104,42359,466,41221,672,331801.256
Patiala,Punjab,24,1895686,15573,254,14850,469,174403.112
Agra,Uttar Pradesh,30,4418797,10117,228,9719,170,309315.79
Sagar,Madhya Pradesh,16,2378458,4872,196,4529,147,171248.976
Moradabad,Uttar Pradesh,30,4772006,11456,275,11005,176,334040.42
Azamgarh,Uttar Pradesh,30,4613913,5938,150,5694,94,322973.91
Tarn Taran,Punjab,24,1119627,2095,11,1981,103,103005.684
Gorakhpur,Uttar Pradesh,30,4440895,20817,294,20186,337,310862.65
Amravati,Maharashtra,17,2888445,19596,445,18771,378,257071.605
Varanasi,Uttar Pradesh,30,3676841,22114,696,20993,425,257378.87
Sitapur,Uttar Pradesh,30,4483992,4709,104,4531,74,313879.44
Purba Medinipur,West Bengal,32,5095875,19818,661,18890,267,361807.125
Krishna,Andhra Pradesh,1,4517398,47420,674,46084,662,347839.646
Ratnagiri,Maharashtra,17,1615069,11089,454,10259,374,143741.141
Nadia,West Bengal,32,5167600,21194,688,20226,280,366899.6
Rae Bareli,Uttar Pradesh,30,3405559,5099,222,4774,103,238389.13
Meerut,Uttar Pradesh,30,3443689,21335,1016,19896,423,241058.23
Osmanabad,Maharashtra,17,1657576,16739,252,15951,534,147524.264
Jaunpur,Uttar Pradesh,30,4494204,6539,189,6253,97,314594.28
Jalna,Maharashtra,17,1959046,12635,175,12122,337,174355.094
Dehradun,Uttarakhand,31,1696694,26322,1565,23536,818,149309.072
Sivasagar,Assam,3,1151050,529,22,473,34,71365.1
Lucknow,Uttar Pradesh,30,4589838,76975,2884,72994,1097,321288.66
Salem,Tamil Nadu,27,3482056,31287,337,30494,456,309902.984
Bahraich,Uttar Pradesh,30,3487731,4031,75,3882,74,244141.17
Sultanpur,Uttar Pradesh,30,3797117,4724,259,4390,75,265798.19
Raipur,Chhattisgarh,6,4063872,51473,6474,44297,702,304790.4
Dharwad,Karnataka,13,1847023,21782,127,21049,606,145914.817
Dhule,Maharashtra,17,2050862,15551,307,14898,343,182526.718
Ghazipur,Uttar Pradesh,30,3620268,5057,91,4886,80,253418.76
Unnao,Uttar Pradesh,30,3108367,4492,182,4228,82,217585.69
Jaipur,Rajasthan,25,6626178,56361,3881,51986,494,450580.104
Ambedkar Nagar,Uttar Pradesh,30,2397888,1853,66,1744,43,167852.16
Coimbatore,Tamil Nadu,27,3458045,51696,948,50106,642,307766.005
Tirunelveli,Tamil Nadu,27,3077233,15205,128,14866,211,273873.737
Indore,Madhya Pradesh,16,3276697,53011,3925,48235,851,235922.184
Dakshina Kannada,Karnataka,13,2089649,32693,339,31618,734,165082.271
